PostDist,Unnamed: 0,Studio,One Bed,Two Beds,Three Beds,Four Beds,Five Beds,latitude,longitude,Place,distance_from_uni
SE9,73.0,313.0,335.0,477.5,433.0,803.0,958.0,51.4414439,0.05853159999999999,['Woolwich'],17491.905464228734
SM4,94.0,313.0,370.0,477.5,389.0,803.0,1300.0,51.3940417,-0.20482550000000002,['Morden'],11759.630331584049
SW1,98.0,443.0,620.0,1232.0,2222.0,3209.0,6051.0,51.50646949999999,-0.13483900000000001,['Balham'],3047.5139692595485
SW11,99.0,290.0,353.5,476.5,563.5,737.5,1406.0,51.46761,-0.1583477,['Barnes'],3652.0568141048157
SW12,95.0,251.0,367.0,430.0,541.0,671.0,1088.0,51.443988899999994,-0.1494105,"['Battersea', 'Clapham']",6337.979709776057
SW13,96.0,313.0,334.0,401.0,768.0,1230.0,1341.0,51.477976399999996,-0.24074879999999999,['Belgravia'],4968.129767397018
SW14,105.0,313.0,316.0,379.0,438.0,773.0,1453.0,51.4647869,-0.2671196,['Brixton'],7278.079187556924
SW15,112.0,254.0,357.0,442.0,563.0,679.0,1271.0,51.4569895,-0.228805,['Chelsea'],5837.990572726541
SW16,117.0,215.0,295.0,351.0,446.0,537.0,1300.0,51.420389,-0.12876680000000001,"['Colliers Wood', 'South Wimbledon', 'Wimbledon']",9288.635849065831
SW17,118.0,313.0,306.0,370.0,494.0,620.0,783.0,51.42560229999999,-0.15810970000000002,"[""Earl's Court""]",8193.841590909977
SW18,112.0,311.5,335.5,443.5,610.0,735.5,1043.5,51.446550099999996,-0.193461,"['Earlsfield', 'Wandsworth']",5873.726011025418
SW19,113.33333333333333,301.0,327.6666666666667,414.0,566.6666666666666,625.3333333333334,1115.3333333333333,51.425529700000006,-0.20505660000000003,['East Sheen'],8329.636520033897
SW1E,122.0,2414.0,607.0,916.0,1797.0,3233.0,1300.0,51.4985016,-0.13867910000000003,"['Fulham Broadway', 'Parsons Green', 'West Brompton']",2645.3940206683255
SW1H,116.0,442.0,431.0,748.0,874.0,803.0,14500.0,51.499823799999994,-0.1313378,"['Gloucester Road', 'Kensington', 'Knightsbridge', 'South Kensington']",3157.7052433856834
SW1V,111.0,307.0,415.0,549.0,761.0,1163.0,1300.0,51.48996169999999,-0.13937120000000003,['Pimlico'],2760.285612102003
SW1W,116.0,974.5,535.5,994.0,1899.5,2891.0,4100.0,51.492578200000004,-0.1482011,['Putney'],2087.6489993433524
SW3,100.0,347.0,477.0,811.0,1131.0,2235.0,4011.0,51.491247200000004,-0.1614216,"['Sloane Square', 'Victoria']",1331.2205541598898
SW5,103.0,313.0,443.0,592.0,892.0,1381.0,1729.0,51.4925144,-0.1923088,"[""St James's Park""]",1249.2727689013234
SW6,112.33333333333333,325.0,418.6666666666667,547.6666666666666,732.3333333333334,1177.0,1451.0,51.4754218,-0.2024825,['Streatham'],3105.233397758434
SW7,109.5,368.75,523.5,936.25,1499.0,2203.0,3263.75,51.4964852,-0.173215,['Tooting'],328.8371832847792
SW9,99.0,317.0,346.0,395.0,540.0,811.0,855.0,51.4676639,-0.11137570000000001,['Westminster'],5677.207276424396
TW1,130.0,313.0,285.0,404.0,540.0,968.0,1300.0,51.44889939999999,-0.3199502,"['Boston Manor', 'Brentford']",11331.983562804744
TW11,129.0,515.0,370.0,353.0,654.0,635.0,912.0,51.4252329,-0.3343943,"['Kew Gardens', 'Richmond Upon Thames']",13607.715946007444
TW7,127.0,313.0,370.0,288.0,404.0,803.0,1300.0,51.4777456,-0.3350238,['Osterley'],11185.970959143291
TW8,124.5,313.0,350.0,455.75,573.0,574.0,961.5,51.4856987,-0.3085777,['Teddington'],9224.798456102068
TW9,127.0,313.0,342.5,437.5,746.5,908.5,1084.0,51.4673351,-0.29953670000000004,['Twickenham'],9166.352787143409
W1,153.75,469.0,777.25,1085.0,1750.75,1273.5,12510.75,51.5152782,-0.1620039,['Acton'],2145.385487972878
W10,150.0,313.0,346.0,479.0,627.0,803.0,1300.0,51.52269709999999,-0.21460990000000002,"['Barons Court', 'Kensington Olympia', 'West Kensington']",3760.1050672228776
W11,151.0,368.0,481.0,653.0,1134.5,1574.5,1300.0,51.5121945,-0.20863890000000002,"['Bayswater', 'Paddington', 'Queensway', 'Westbourne Grove']",2682.396544718105
W12,150.5,302.5,355.5,449.5,503.0,776.5,1300.0,51.509528100000004,-0.22923600000000002,['Bond Street'],3829.8978593732595
W14,148.66666666666666,303.3333333333333,410.0,524.0,753.3333333333334,1020.6666666666666,1413.3333333333333,51.4964278,-0.20852110000000001,"['BrackenburyVillage', 'Brook Green', 'Hammersmith', 'Ravenscourt Park', 'Stamford Brook']",2199.8413717883745
W1B,147.5,359.0,454.5,1105.0,654.0,803.0,1300.0,51.518535799999995,-0.1420878,"['Chiswick', 'Gunnersbury']",3292.0556529774885
W1J,150.5,498.0,718.0,1114.5,1374.5,1790.5,1300.0,51.50834769999999,-0.1453441,"['Ealing Broadway', 'Northfields', 'South Ealing']",2450.120858112932
W1K,134.0,313.0,988.0,1605.0,2408.0,4883.0,18220.0,51.51096829999999,-0.15124,"['Fitzrovia', 'Oxford Circus']",2262.641955064494
W1T,141.0,313.0,519.0,714.0,1000.0,803.0,1300.0,51.518874200000006,-0.1336332,"['Goldhawk road', 'Shepherds Bush']",3764.1956190328565
W1W,142.0,488.0,493.0,911.0,742.0,889.0,1300.0,51.51952360000001,-0.1402543,['Goodge Street'],3459.756858599873
W2,153.75,336.25,457.75,629.0,1150.0,1878.25,1300.0,51.5096281,-0.1703541,['Great Portland Street'],1332.632434234306
W3,131.0,236.0,314.0,424.0,543.0,562.0,923.0,51.512075200000005,-0.2675725,"['Green Park', 'Piccadilly Circus']",6458.828552571093
W4,140.5,679.0,338.5,445.5,569.0,931.5,1205.0,51.4884335,-0.2644,['High Street Kensington'],6157.736627665045
W5,151.66666666666666,316.3333333333333,388.6666666666667,437.0,607.0,529.0,1249.6666666666667,51.5093689,-0.29998800000000003,"['Holland Park', 'Notting Hill']",8607.456646985163
W6,148.0,291.0,368.8,553.8,852.6,1099.8,1463.8,51.49114050000001,-0.22614110000000004,"['Hyde Park', 'Marble Arch', 'Mayfair', 'Soho']",3502.43569475871
W8,146.0,452.0,488.0,832.0,1310.0,2015.0,7511.0,51.501713,-0.19090079999999998,['Ladbroke Grove'],1038.931591966793
W9,151.0,313.0,409.0,551.0,770.0,1276.0,3005.0,51.52800429999999,-0.18519000000000002,['Maida Vale'],3346.3523378416076
WC1B,172.0,313.0,484.0,653.0,792.0,897.0,1250.0,51.51954179999999,-0.12407860000000001,['Bloomsbury'],4348.560534087593
WC1N,167.0,356.0,474.0,707.0,983.0,803.0,1300.0,51.524147,-0.1189525,['Chancery Lane'],4929.757879927262
WC2A,168.0,313.0,833.0,1345.0,1425.0,803.0,1300.0,51.5162675,-0.1130395,['Covent Garden'],4847.392132903854
WC2B,170.0,313.0,482.0,745.0,1046.0,803.0,1300.0,51.5142913,-0.1181756,['Holborn'],4433.442739816221
WC2E,169.0,313.0,468.0,757.0,1097.0,803.0,1300.0,51.51166019999999,-0.1211039,"['Leicester Square', 'Tottenham Court Road']",4135.076277953098
WC2H,172.0,430.0,549.5,678.5,1118.0,803.0,1300.0,51.51428370000001,-0.1255253,['Russell Square'],3971.9873381010584
