,postcodes,names,distance,type_major,type_minor
147,BR1,Sumosan Twiga,16071,nightlife,Japanese Restaurant
148,BR1,Buddha-Bar,16407,nightlife,Asian Restaurant
149,BR1,Harrods Pizzeria & Canti Prosecco Bar,16212,nightlife,Pizza Place
150,BR1,ZSL London Zoo,18558,entertainment,Zoo
151,BR1,British Museum,15813,entertainment,History Museum
152,BR1,Tate Modern,13626,entertainment,Art Museum
153,BR1,National Gallery,15111,entertainment,Art Museum
154,BR1,Tower of London,12680,entertainment,Castle
155,BR1,Victoria and Albert Museum (V&A),16649,entertainment,Art Museum
156,BR1,Elizabeth Tower (Big Ben) (Big Ben (Elizabeth Tower)),14290,entertainment,Monument / Landmark
157,BR1,Imperial War Museum,13126,entertainment,History Museum
158,BR1,Hampton Court Palace,25491,entertainment,Palace
159,BR1,Old Royal Naval College,7948,entertainment,Historic Site
160,BR1,Southbank Centre,14305,entertainment,Performing Arts Venue
161,BR1,Museum of London,14369,entertainment,History Museum
162,BR1,Cutty Sark,7993,entertainment,History Museum
163,BR1,Science Museum,16828,entertainment,Science Museum
164,BR1,Royal Observatory,7222,entertainment,Observatory
165,BR1,National Maritime Museum,7692,entertainment,History Museum
166,BR1,Tate Britain,13795,entertainment,Art Museum
167,BR1,Somerset House,14741,entertainment,Event Space
168,BR1,Chiswick Memorial Club,21876,entertainment,General Entertainment
169,BR1,Barbican Centre,14445,entertainment,Performing Arts Venue
170,BR1,Natural History Museum,16900,entertainment,Science Museum
171,BR1,The O2 Arena,9919,entertainment,Music Venue
172,BR1,Horniman Museum and Gardens,6911,entertainment,Museum
173,BR1,Ashburton Triangle and Arsenal Museum,18369,entertainment,History Museum
174,BR1,Stamford Bridge,16818,entertainment,Soccer Stadium
175,BR1,William Hogarth Statue,21520,entertainment,Outdoor Sculpture
176,BR1,Paddington Recreation Athletics Track,19996,entertainment,Track Stadium
177,BR1,Battersea Power Station,14157,entertainment,Historic Site
178,BR1,ODEON BFI IMAX,14069,entertainment,Movie Theater
179,BR1,Emirates Stadium,18275,entertainment,Soccer Stadium
180,BR1,Cineworld,10909,entertainment,Multiplex
181,BR1,180 The Strand,14757,entertainment,Art Gallery
182,BR1,Painted Hall,7929,entertainment,Museum
183,BR1,Chiswick House & Gardens,21514,entertainment,Historic Site
184,BR1,Queens Yard,14708,entertainment,Art Gallery
185,BR1,Regent's Park Open Air Theatre,17901,entertainment,Theater
186,BR1,Mathew Harding End,17031,entertainment,Soccer Stadium
187,BR1,Fulham Palace,18090,entertainment,Historic Site
188,BR1,Alexandra Palace,22786,entertainment,Palace
189,BR1,Marble Arch,16990,entertainment,Monument / Landmark
190,BR1,Platform 9¾,16800,entertainment,General Entertainment
191,BR1,Syon Park,24881,entertainment,Park
