,PostDist,studio_metric,oneBed_metric,twoBed_metric,threeBed_metric,fourBed_metric,fiveBed_metric,distance_Metic,entertainment_Metric,grocery_Metric,nightlife_Metric,outdoors_Metric,restaurants_Metric
36,NW10,0.7275262900165532,0.36787584111871974,0.529030971557527,0.6073827243731037,0.3877614434370706,0.24025852058572844,0.04499987463089357,0.2510188234452607,0.24993778333558606,0.3181663908108272,0.17946334466194921,0.39805657672475137
35,NW11,0.5222670712070803,0.37029311520109076,0.6143778452200306,0.5278543849972421,0.3875022459595732,0.34710624416999153,0.031596443361932985,0.2868382993362978,0.2617632607391944,0.3810924158583838,0.2030265814231195,0.43619156374571333
33,NW2,0.662472835682242,0.43303067484662583,0.6876744478602375,0.733591836734694,0.5613401660081035,0.32791064535809966,0.023056033451211825,0.17361466852516308,0.17958160410613325,0.206278264672867,0.10681304121270543,0.24094411407041724
32,NW3,0.6940068284556299,0.4310512251119727,0.6143778452200306,0.7189968325247584,0.4219411517313354,0.35701368191999655,0.016254824990204506,0.15774409933448516,0.1720582764982427,0.20283898922402718,0.09841389903037487,0.22061175402021774
37,NW5,0.5964612686458545,0.35454816779970166,0.5801806389922466,0.9098969684961362,0.45829479038334975,0.27051382441225275,0.005940914073440013,0.08773265424801233,0.10017026549575683,0.10896132702058312,0.03355302739545343,0.12305904931157477
38,NW6,0.5964612686458545,0.35454816779970166,0.5141734660639237,0.5392248642576297,0.45829479038334975,0.5601003038946996,0.012030752055035822,0.11942755426894905,0.12778798600560645,0.1389831390041135,0.05858597800721288,0.1557623321075645
39,NW7,0.5899550652895063,0.289259035570107,0.4458447782409098,0.44919138728246366,0.3599957857470771,0.24823794137514144,0.03723966204867099,0.3892226578833907,0.35749456566943294,0.4974839193680901,0.2591177048221195,0.581511909580955
34,NW9,0.1911740632261271,0.25343553741150626,0.26586498888509386,0.27853205296476957,0.09107730406107604,0.10801637652029826,0.0373837003690992,0.2566025743028334,0.2639289244325541,0.34970975423054473,0.192784849100505,0.42157827590368036
41,SE1,0.6449103511838911,0.3956219436294124,0.6203644065021126,0.729757729236353,0.5405033620166451,0.24823794137514144,0.05088528291825234,0.40117849302902464,0.350813794362678,0.47017034442312877,0.2707147526726664,0.6288805859316717
49,SE10,0.9424161201901391,0.49625269441220365,0.9132990556447693,0.8569317382125264,0.45829479038334975,0.24823794137514144,0.007944820094930579,0.14034151000783032,0.12872556889259165,0.1262799565163665,0.05394833631562723,0.14244802258821557
51,SE11,0.8397350657161212,0.4451679904609882,0.6738158465207025,0.6972919186795177,0.5751189336743676,0.37492255511000566,0.026377547288108507,0.28024133598266865,0.24107767784791614,0.2648022501735864,0.15839734785962403,0.3210742681635401
52,SE13,0.8951099303546822,0.35454816779970166,0.9710058530240624,0.8461502782931354,0.7048198451981691,0.5188588857640725,0.010278093419138438,0.1710248230321519,0.1572714480658872,0.1566318835055572,0.07372809686506865,0.1738153813559186
53,SE14,0.662472835682242,0.4271285350890319,0.7397676013885714,0.7743002762490097,0.6475572025491751,0.3026900999103024,0.005156981214758688,0.15922651987088995,0.15800459333344904,0.16499994357957845,0.05806362382719596,0.1585834993012116
54,SE15,0.5964612686458545,0.5394243243837544,0.8162560271524903,0.7957208689927584,0.45829479038334975,0.24823794137514144,0.01178235318213355,0.22982731526162517,0.20597295153460962,0.21781268419391983,0.10590179807198499,0.21871760331867388
44,SE16,0.7760814527041774,0.5367397020157757,0.6971553758272491,0.7303032766891617,0.7345958208635723,0.41100627485423186,0.020108716214457898,0.28911380466316094,0.2616378931940664,0.2926338929097946,0.1526456547037822,0.31500786342791043
56,SE17,0.5964612686458545,0.4137679699661204,0.5141734660639237,0.8613140406277985,0.45829479038334975,0.3436661501270253,0.00018975977983864967,0.09078032853041718,0.08360092950845988,0.10296379707858475,0.01562896375745368,0.09015426763905315
