PostDist,TransportMode,duration
W9,subway,1958
WC1N,walking,4298
WC1N,bicycling,1594
WC1N,bus,2339
WC1N,subway,1800
WC2A,walking,4116
WC2A,bicycling,1597
WC2A,bus,1879
WC2A,subway,1725
WC2E,walking,3394
WC2E,bicycling,1254
WC2E,bus,1430
WC2E,subway,1464
WC2B,walking,3715
WC2B,bicycling,1528
WC2B,bus,1859
WC2B,subway,1552
WC2H,walking,3252
WC2H,bicycling,1345
WC2H,bus,1681
WC2H,subway,1344
WC1B,walking,3726
WC1B,bicycling,1212
WC1B,bus,1717
WC1B,subway,1506
