,Place,Studio,One Bed,Two Beds,Three Beds,Four Beds,Five Beds,PostDist,latitude,longitude
122,Westminster,2414.0,607.0,916.0,1797.0,3233.0,1300.0,SW1E,51.5195418,-0.1240786
123,Wimbledon,313.0,328.0,458.0,623.0,737.0,1463.0,SW19,51.5195418,-0.1240786
124,Boston Manor,313.0,370.0,477.5,654.0,462.0,1300.0,TW8,51.5195418,-0.1240786
125,Brentford,313.0,330.0,434.0,492.0,686.0,623.0,TW8,51.5195418,-0.1240786
126,Kew Gardens,313.0,354.0,427.0,738.0,935.0,1207.0,TW9,51.5195418,-0.1240786
127,Osterley,313.0,370.0,288.0,404.0,803.0,1300.0,TW7,51.5195418,-0.1240786
128,Richmond Upon Thames,313.0,331.0,448.0,755.0,882.0,961.0,TW9,51.5195418,-0.1240786
129,Teddington,515.0,370.0,353.0,654.0,635.0,912.0,TW11,51.5195418,-0.1240786
130,Twickenham,313.0,285.0,404.0,540.0,968.0,1300.0,TW1,51.5195418,-0.1240786
131,Acton,236.0,314.0,424.0,543.0,562.0,923.0,W3,51.5195418,-0.1240786
132,Barons Court,306.0,397.0,513.0,639.0,738.0,1300.0,W14,51.5195418,-0.1240786
133,Bayswater,348.0,454.0,625.0,1108.0,1901.0,1300.0,W2,51.5195418,-0.1240786
134,Bond Street,313.0,988.0,1605.0,2408.0,4883.0,18220.0,W1K,51.5195418,-0.1240786
135,BrackenburyVillage,280.0,367.0,591.0,959.0,879.0,1563.0,W6,51.5195418,-0.1240786
136,Brook Green,284.0,353.0,442.0,697.0,833.0,1414.0,W6,51.5195418,-0.1240786
137,Chiswick,278.0,340.0,449.0,606.0,1021.0,1285.0,W4,51.5195418,-0.1240786
138,Ealing Broadway,323.0,380.0,466.0,682.0,618.0,1300.0,W5,51.5195418,-0.1240786
139,Fitzrovia,361.0,456.0,1225.0,654.0,803.0,1300.0,W1B,51.5195418,-0.1240786
140,Goldhawk road,340.0,373.0,487.0,507.0,772.0,1300.0,W12,51.5195418,-0.1240786
141,Goodge Street,313.0,519.0,714.0,1000.0,803.0,1300.0,W1T,51.5195418,-0.1240786
142,Great Portland Street,488.0,493.0,911.0,742.0,889.0,1300.0,W1W,51.5195418,-0.1240786
143,Green Park,498.0,717.0,1080.0,1379.0,803.0,1300.0,W1J,51.5195418,-0.1240786
144,Gunnersbury,1080.0,337.0,442.0,532.0,842.0,1125.0,W4,51.5195418,-0.1240786
145,Hammersmith,306.0,371.0,466.0,655.0,855.0,1281.0,W6,51.5195418,-0.1240786
146,High Street Kensington,452.0,488.0,832.0,1310.0,2015.0,7511.0,W8,51.5195418,-0.1240786
147,Holland Park,364.0,493.0,656.0,1213.0,1993.0,1300.0,W11,51.5195418,-0.1240786
148,Hyde Park,497.0,631.0,1019.0,1702.0,1714.0,15923.0,W1,51.5195418,-0.1240786
149,Kensington Olympia,300.0,425.0,546.0,852.0,1315.0,1413.0,W14,51.5195418,-0.1240786
150,Ladbroke Grove,313.0,346.0,479.0,627.0,803.0,1300.0,W10,51.5195418,-0.1240786
